,Length,Width,Views last 7 days,Price_in_Euro,clusters,cluster
128,-0.661518027098465,-0.6622515042386302,-0.06090851757238002,-0.30885729434593095,3,Dark purple
129,-0.8816320404726223,-1.0748426976961651,1.8797950366533234,-0.30885729434593095,1,Pink
130,-0.7865828074246907,-1.3636565331164396,0.5838434937982855,-0.30885729434593095,3,Dark purple
131,-0.8699593276421745,-1.1161018170419184,1.1383302235770578,-0.30885729434593095,3,Dark purple
132,-0.9266553613900635,-0.8767989248365482,0.24212492777183275,-0.30885729434593095,3,Dark purple
133,-0.7532321993376971,-0.49721502685561614,6.128710791586009,-0.30885729434593095,1,Pink
134,-0.661518027098465,-0.7447697429301373,1.415573588466444,-0.30885729434593095,3,Dark purple
135,-1.1867901044686133,-1.4461747718079463,-0.11248867848203326,-0.30886798270507854,3,Dark purple
136,-1.120088888294626,1.1614015708436738,-0.06090851757238002,-0.30886798270507854,0,Light pink
137,-1.0700629761641358,-0.9593171635280552,0.8610868586876717,-0.3077040203939082,3,Dark purple
138,-1.2868419287295938,-2.1063206813400024,0.10027948527028635,-0.30931689378927646,3,Dark purple
139,-1.2868419287295938,-1.2811382944249325,-0.1060411583683266,-0.30931689378927646,3,Dark purple
140,-1.120088888294626,-1.3636565331164396,0.7901641374368984,-0.30775746218964606,3,Dark purple
141,-1.20346540851211,-1.4874338911537,1.3833359878979108,-0.30775746218964606,3,Dark purple
142,-0.9866864559466519,-0.8933025725748496,1.1770153442592977,-0.3066918327826334,3,Dark purple
143,-1.1534394963816197,-1.2811382944249325,-0.4993398853044326,-0.30800222561412544,3,Dark purple
144,-0.8866346316856712,-0.9840726351355075,0.5451583731160455,-0.30800222561412544,3,Dark purple
145,-1.1367641923381229,-1.3636565331164396,0.19054476686217953,-0.3080342906915681,3,Dark purple
146,-1.2868419287295938,-2.1063206813400024,-0.5380250059866725,-0.30848533944759554,3,Dark purple
147,-1.0033617599901488,-1.0748426976961651,-0.34459940257547284,-0.3080556674098633,3,Dark purple
148,-1.120088888294626,-1.2811382944249325,-0.02222339689014009,-0.3083228763885525,3,Dark purple
149,-0.5364532467722392,-0.3734376688183558,0.17120220652105955,-0.3083228763885525,3,Dark purple
150,0.4974156039245606,0.0804126439849324,0.5451583731160455,-0.3083228763885525,0,Light pink
151,-1.0200370640336456,-1.1161018170419184,1.9442702377903898,-0.3083228763885525,1,Pink
152,-0.7532321993376971,-0.5797332655471232,0.0938319651565797,-0.3083228763885525,3,Dark purple
153,-0.9333254830074623,-1.099598169303617,0.06159436458804642,-0.3083228763885525,3,Dark purple
154,-0.9533358478596584,-1.1161018170419184,0.07448940481545974,-0.3083228763885525,3,Dark purple
155,-0.7782451554029424,-0.8685471009673976,1.8411099159710833,-0.30570636606922746,1,Pink
156,-1.120088888294626,-1.2811382944249325,-0.7443456496252855,-0.30705096164999174,3,Dark purple
157,-1.1917926956816622,-1.3389010615089874,0.3968654105007925,-0.30581431849661794,3,Dark purple
158,-1.0033617599901488,-1.1986200557334254,0.40976045072820577,-0.3071834973034216,3,Dark purple
159,-0.8249360067247333,-1.050087226088713,3.9301064328120394,-0.30603022335139884,1,Pink
160,-0.9616734998814067,-0.8850507487056991,-0.18985891984651312,-0.30725404047379556,3,Dark purple
161,-0.8866346316856712,-0.8355398054907949,0.46134061163785905,-0.30725404047379556,3,Dark purple
162,-0.9266553613900635,-0.8850507487056991,-0.2607816410972863,-0.30725404047379556,3,Dark purple
163,-0.661518027098465,-0.8107843338833429,-0.434864684167366,-0.30725404047379556,3,Dark purple
164,-0.7865828074246907,-1.2811382944249325,0.7321364564135385,-0.30725404047379556,3,Dark purple
165,-1.0450500200988906,-1.157360936387672,-0.267229161210993,-0.30725404047379556,3,Dark purple
